키워드, 피시검색수, 모바일검색수, 총검색수,카테고리, 6개월판매량, 1일판매량, 포스팅수, 섹션순서, 1섹션점수, 2섹션점수
﻿청송사과,1370,8420,9790,﻿식품>농산물>과일>사과,120677,670.43,362705,쇼핑>VIEW>이미지>지식iN,5,4
﻿사과,18900,89700,108600,﻿식품>농산물>과일>사과,248697,1381.65,25212798,이미지>쇼핑>어학사전>VIEW,2,5
﻿청송사과10KG,90,870,960,﻿식품>농산물>과일>사과,96957,538.65,35758,쇼핑>VIEW>이미지>지식iN,5,4
﻿만년설딸기가격,< 10,< 10,< 10< 10,﻿디지털/가전>음향가전>이어폰/헤드폰액세서리>케이스/파우치,0,0,2947,VIEW>이미지>지식iN>동영상,4,2
﻿청송사과직판장,< 10,60,60< 10,﻿식품>농산물>과일>사과,81040,450.22,6508,VIEW>이미지>지식iN>동영상,4,2
﻿사과유명한곳,270,1720,1990,﻿식품>농산물>과일>사과,33394,185.52,1067427,VIEW>이미지>지식iN>동영상,4,2
﻿못난이사과,300,1690,1990,﻿식품>농산물>과일>사과,128928,716.27,99933,쇼핑>VIEW>이미지>지식iN,5,4
﻿청송사과농장,10,40,50,﻿식품>농산물>과일>사과,63769,354.27,81377,VIEW>이미지>지식iN>동영상,4,2
﻿꿀사과,340,3390,3730,﻿식품>농산물>과일>사과,234478,1302.66,1388582,이미지>쇼핑>VIEW>지식iN,2,5
﻿밀양얼음골사과,190,1930,2120,﻿식품>농산물>과일>사과,997,5.54,28281,쇼핑>이미지>VIEW>지식iN,5,2
﻿소곱창,4080,47400,51480,﻿식품>축산>축산가공식품>기타육가공,346779,1926.55,756482,쇼핑>이미지>지도>VIEW,5,2
﻿소곱창,4080,47400,51480,﻿식품>축산>축산가공식품>기타육가공,346779,1926.55,756482,쇼핑>이미지>지도>VIEW,5,2
﻿소스,4160,8620,12780,﻿식품>가공식품>소스>기타소스,154419,857.88,26803763,어학사전>쇼핑>이미지>VIEW,1,5
﻿냉면육수,3620,27700,31320,﻿식품>가공식품>면류>냉면,24127,134.04,974057,쇼핑>VIEW>이미지>지식iN,5,4
﻿바질,7080,61300,68380,﻿생활/건강>원예/식물>허브식물,86425,480.14,1930153,이미지>쇼핑>어학사전>VIEW,2,5
﻿청송사과즙,210,1610,1820,﻿식품>건강식품>과일즙>사과즙,11488,63.82,46013,쇼핑>VIEW>이미지>지식iN,5,4
﻿얼음골사과,270,800,1070,﻿식품>농산물>과일>사과,25178,139.88,51061,이미지>쇼핑>VIEW>지식iN,2,5
﻿빙초산,2040,7620,9660,﻿식품>가공식품>조미료>식초,733,4.07,71117,이미지>쇼핑>어학사전>VIEW,2,5
﻿사과농장,210,640,850,﻿식품>농산물>과일>사과,0,0,1099754,이미지>VIEW>지식iN>동영상,2,4
﻿못난이사과,300,1690,1990,﻿식품>농산물>과일>사과,0,0,99944,쇼핑>VIEW>이미지>지식iN,5,4
﻿디저트납품,580,990,1570,﻿식품>가공식품>케이크,0,0,206546,VIEW>이미지>지식iN>동영상,4,2
﻿여름딸기,780,5480,6260,﻿식품>농산물>과일>딸기,0,0,1527670,쇼핑>VIEW>이미지>지식iN,5,4
﻿세척사과,1670,8470,10140,﻿식품>농산물>과일>사과,0,0,1321379,쇼핑>VIEW>이미지>지식iN,5,4
﻿충주사과직거래,< 10,< 10,< 10< 10,﻿식품>농산물>과일>사과,36,0.2,152755,VIEW>이미지>지식iN>동영상,4,2
﻿과일혼합세트,< 10,10,10< 10,﻿식품>농산물>과일>혼합과일세트,6001,33.34,323266,VIEW>이미지>지식iN>동영상,4,2
﻿충북사과,< 10,50,50< 10,﻿식품>농산물>과일>사과,123,0.68,1089419,VIEW>이미지>지식iN>동영상,4,2
﻿아삭사과,< 10,60,60< 10,﻿식품>농산물>과일>사과,7943,44.13,164748,VIEW>이미지>지식iN>동영상,4,2
﻿과수원사과,50,360,410,﻿식품>음료>주스/과즙음료>사과주스,8324,46.24,310775,VIEW>이미지>지식iN>동영상,4,2
﻿사과3KG,50,440,490,﻿식품>농산물>과일>사과,40198,223.32,192243,VIEW>이미지>지식iN>동영상,4,2
키워드, 피시검색수, 모바일검색수, 총검색수,카테고리, 6개월판매량, 1일판매량, 포스팅수, 섹션순서, 1섹션점수, 2섹션점수
﻿홍삼,13000,72800,85800,﻿식품>건강식품>홍삼,50521,280.67,3642611,쇼핑>이미지>VIEW>지식iN,5,2
키워드, 피시검색수, 모바일검색수, 총검색수,카테고리, 6개월판매량, 1일판매량, 포스팅수, 섹션순서, 1섹션점수, 2섹션점수
﻿홍삼,13000,72800,85800,﻿식품>건강식품>홍삼,50521,280.67,3642669,쇼핑>이미지>VIEW>지식iN,5,2
﻿홍삼,13000,72800,85800,﻿null,50521,280.67,3642669,쇼핑>이미지>VIEW>지식iN,5,2
